Key,File,Type,UsedInMainMenu,NoTranslate,english
17modGunHeadShot,item_modifiers,mod,,,碎颅者
17modGunHeadShotDesc,items,Ammo,,,这个模组会增加武器额外的50%头部伤害，同时会降低25%其他部位伤害.\n安装于武器.
17modShotgunAddRange,item_modifiers,mod,,,增压枪管
17modShotgunAddRangeDesc,items,Ammo,,,这个模组会增加霰弹枪35%弹丸飞行距离，略微增强稳定性.\n安装于霰弹枪.
17modWeaponDecapitizer,item_modifiers,mod,,,断离
17modWeaponDecapitizerDesc,items,Ammo,,,这个模组会降低少量伤害，增加部分截肢率.\n安装于武器或工具.
17modGunMeleeBlessed,item_modifiers,mod,,,幸运之尾
17modGunMeleeBlessedDesc,items,Ammo,,,这个模组会额外增加对不死生物的伤害.\n安装于武器或工具.
17modBowFast,item_modifiers,mod,,,战术箭袋
17modBowFastDesc,items,Ammo,,,这个模组会提升弓弩武器的装填速度.\n安装于弓弩.
17modBowArmor,item_modifiers,mod,,,强化弓片
17modBowArmorDesc,items,Ammo,,,这个模组会提升弓弩武器的破甲能力.\n安装于弓弩.
17modRecoryHPneck,item_modifiers,mod,,,梅丽珊卓的项链
17modRecoryHPneckDesc,items,Ammo,,,当你生命值较低的时候，会缓慢的治疗你.\n安装于头盔.
17modLuckyneck,item_modifiers,mod,,,格里伏塔的正牌寻宝护符
17modLuckyneckDesc,items,Ammo,,,带上之后，你就可以在各种容器里找到值钱的宝贝！.\n安装于头盔.
17modExpneck,item_modifiers,mod,,,不可思议的捕梦网 
17modExpneckDesc,items,Ammo,,,带上之后，你可以通过各种行为获得意想不到的经验值.\n安装于头盔.
17modNight,item_modifiers,mod,,,有问必答的蝙蝠之眼
17modNightDesc,items,Ammo,,,蝙蝠有眼睛吗，我哪里知道！？反正晚上你可以看的更清楚就是了.\n安装于头盔.
17modAttribute11,item_modifiers,mod,,,弱效感知之石
17modAttribute11Desc,items,Ammo,,,感知补正1.\n安装于头盔.
17modAttribute12,item_modifiers,mod,,,弱效力量之石
17modAttribute12Desc,items,Ammo,,,力量补正1.\n安装于头盔.
17modAttribute13,item_modifiers,mod,,,弱效强健之石
17modAttribute13Desc,items,Ammo,,,强健补正1.\n安装于头盔.
17modAttribute14,item_modifiers,mod,,,弱效敏捷之石
17modAttribute14Desc,items,Ammo,,,敏捷补正1.\n安装于头盔.
17modAttribute15,item_modifiers,mod,,,弱效智慧之石
17modAttribute15Desc,items,Ammo,,,智慧补正1.\n安装于头盔.
17modAttribute21,item_modifiers,mod,,,感知之石
17modAttribute21Desc,items,Ammo,,,感知补正2.\n安装于头盔.
17modAttribute22,item_modifiers,mod,,,力量之石
17modAttribute22Desc,items,Ammo,,,力量补正2.\n安装于头盔.
17modAttribute23,item_modifiers,mod,,,强健之石
17modAttribute23Desc,items,Ammo,,,强健补正2.\n安装于头盔.
17modAttribute24,item_modifiers,mod,,,敏捷之石
17modAttribute24Desc,items,Ammo,,,敏捷补正2.\n安装于头盔.
17modAttribute25,item_modifiers,mod,,,智慧之石
17modAttribute25Desc,items,Ammo,,,智慧补正2.\n安装于头盔.
17modLockhand,item_modifiers,mod,,,锁匠的手套
17modLockhandDesc,items,Ammo,,,加快开锁速度，提升开锁成功率.\n安装于手套.
17modBrasshand,item_modifiers,mod,,,铜匠的手套
17modBrasshandDesc,items,Ammo,,,大量增加拾取到铜的数量，少量提升拾取到赌场代币的数量.\n安装于手套.
17modRichring,item_modifiers,mod,,,黑曜石戒指
17modRichringDesc,items,Ammo,,,这枚名贵的戒指能一定程度改善你的交易能力.\n安装于手套.
17modSneakring,item_modifiers,mod,,,绿宝石戒指
17modSneakringDesc,items,Ammo,,,提升一定程度的潜行伤害.\n安装于手套.
17modToolBlockDam,item_modifiers,mod,,,老矿工的遗产
17modToolBlockDamDesc,items,Ammo,,,降低工具的实体伤害，增加工具的物块伤害.\n安装于工具.
17modBear,item_modifiers,mod,,,熊皮
17modBearDesc,items,Ammo,,,提升护甲和改善气温适应.\n安装于胸部护甲.
17modBag,item_modifiers,mod,,,强化腰带
17modBagDesc,items,Ammo,,,提升少量护甲和增加8格存储空间.\n安装于腿部护甲.
17modRunfoot,item_modifiers,mod,,,靴子鞋底改良
17modRunfootDesc,items,Ammo,,,提升使用者的步行和奔跑速度.\n安装于足部护甲.
17modJumpfoot,item_modifiers,mod,,,靴子弹性改良
17modJumpfootDesc,items,Ammo,,,提升使用者的跳跃高度.\n安装于足部护甲.
