Key,Source,Context,Changes,English,schinese
<!--,,,,,
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,,,,,
AC'S VEHICLES AND PARTS,,,,,
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,,,,,
-->,,,,,
<!-- ###### AC'S VEHICLE#1 ###### -->,,,,,
AC'SVEHICLE#1,vehicles,vehicle,new,Punch Buggy,冲车
AC'SVEHICLE#1placeable,vehicles,item,EnChanged,Punch Buggy,
AC'SVEHICLE#1placeableDesc,vehicles,item,EnChanged,A custom Punch Buggy Volkswagen Beetle.,
AC'SVEHICLE#1Chassis,items,Part,EnChanged,Volkswagen Beetle Chassis,大众甲壳虫底盘
AC'SVEHICLE#1ChassisDesc,items,Part,EnChanged,Parts needed to craft the Volkswagen Beetle. The beginning of something...awesome!,
<!-- ###### AC'S VEHICLE#2 ###### -->,,,,,
AC'SVEHICLE#2,vehicles,vehicle,new,Blender Blue,蓝色货车
AC'SVEHICLE#2placeable,vehicles,item,EnChanged,Blender Blue,
AC'SVEHICLE#2placeableDesc,vehicles,item,EnChanged,A custom Blender Blue Van.,
AC'SVEHICLE#2Chassis,items,Part,EnChanged,Blender Blue Van Chassis,蓝色货车底盘
AC'SVEHICLE#2ChassisDesc,items,Part,EnChanged,Parts needed to craft the ,Blender Blue Van. The beginning of something...awesome!
<!-- ###### AC'S VEHICLE#3 ###### -->,,,,,
AC'SVEHICLE#3,vehicles,vehicle,new,Armor Sledge,装甲雪橇
AC'SVEHICLE#3placeable,vehicles,item,EnChanged,Armor Sledge,
AC'SVEHICLE#3placeableDesc,vehicles,item,EnChanged, A custom Punch Armor Sledge Truck.,
AC'SVEHICLE#3Chassis,items,Part,EnChanged,Armor Sledge Truck Chassis,AC3号车辆底盘
AC'SVEHICLE#3ChassisDesc,items,Part,EnChanged,Parts needed to craft the Armor Sledge Truck. The beginning of something...awesome!,
ACGarageWorkBench,blocks,,,ACGarageWorkBench,AC设备操作台
ACGarageWorkBenchDesc,blocks,,,,AC设备操作台
AC'SVEHICLE#1Chassis Description,items,,,,大众甲壳虫底盘
AC'SVEHICLE#1Placeable,items,,,AC'SVEHICLE#1Placeable,AC1号车辆
AC'SVEHICLE#1Placeable Description,items,,,,AC1号车辆
AC'SVEHICLE#2Chassis Description,items,,,,蓝色货车底盘
AC'SVEHICLE#2Placeable,items,,,AC'SVEHICLE#2Placeable,AC2号车辆
AC'SVEHICLE#2Placeable Description,items,,,,AC2号车辆
AC'SVEHICLE#3Chassis Description,items,,,,AC3号车辆底盘
AC'SVEHICLE#3Placeable,items,,,AC'SVEHICLE#3Placeable,AC3号车辆
AC'SVEHICLE#3Placeable Description,items,,,,AC3号车辆
AC'SVEHICLE#4Chassis,items,,,AC'SVEHICLE#4Chassis,AC4号车辆底盘
AC'SVEHICLE#4Chassis Description,items,,,,AC4号车辆底盘
AC'SVEHICLE#4Placeable,items,,,AC'SVEHICLE#4Placeable,AC4号车辆
