Key,Source,Context,Changes,English,schinese,
TYPE,,,New,类型,类型,
UNLOCKED BY,,,New,解锁自,解锁自,
loadingTipRadials_title,,,New,径向菜单,径向菜单,
loadingTipRadials,,,New,互动（E）、装填（R）、照明（F）、和库存（TAB）按钮具有径向菜单功能，当按住按钮时会显示径向菜单表盘，移动鼠标到你想打开的菜单图标上松开按钮，即可进入该菜单。
animalBossGrace,,,New,野猪头目“暴君”,野猪头目“暴君”,
animalCoyote,,,New,郊狼,郊狼,
animalDireWolf,,,New,凶猛的野狼,凶猛的野狼,
animalMountainLion,,,New,亚洲狮,亚洲狮,
animalSnake,,,New,蛇,蛇,
animalWolf,,,New,狼,狼,
animalZombieBear,,,New,丧尸熊,丧尸熊,
animalZombieVultureRadiated,,,New,受到辐射的丧尸秃鹫,受到辐射的丧尸秃鹫,
legendaryZombieBusinessMan,,,New,传说的僵尸商人,传说的僵尸商人,
legendaryZombieLab,,,New,传说的僵尸实验员,传说的僵尸实验员,
legendaryZombieUtilityWorker,,,New,传说的僵尸公共事业工人,传说的僵尸公共事业工人,
zombieArleneRadiated,,,New,受到辐射的腐烂女孩,受到辐射的腐烂女孩,
zombieBikerFeral,,,New,凶猛的丧尸摩托手,凶猛的丧尸摩托手,
zombieBikerRadiated,,,New,受到辐射的丧尸摩托手,受到辐射的丧尸摩托手,
zombieBoeRadiated,,,New,受到辐射的感染幸存者,受到辐射的感染幸存者,
zombieCheerleaderRadiated,,,New,受到辐射的拉拉队长丧尸,受到辐射的拉拉队长丧尸,
zombieDarleneRadiated,,,New,受到辐射的丧尸母亲,受到辐射的丧尸母亲,
zombieDemolition,,,New,爆破手丧尸,爆破手丧尸,
zombieFemaleFatRadiated,,,New,受到辐射的饥饿丧尸,受到辐射的饥饿丧尸,
zombieJoeRadiated,,,New,受到辐射的溃烂尸体,受到辐射的溃烂尸体,
zombieLab,,,New,僵尸实验员,僵尸实验员,
zombieLabFeral,,,New,凶猛的僵尸实验员,凶猛的僵尸实验员,
zombieLabRadiated,,,New,受到辐射的僵尸实验员,受到辐射的僵尸实验员,
zombieMarleneRadiated,,,New,受到辐射的死去女人,受到辐射的死去女人,
zombieMoeRadiated,,,New,受到辐射的臃肿行人,受到辐射的臃肿行人,
zombieOldTimerRadiated,,,New,受到辐射的僵尸牛仔,受到辐射的僵尸牛仔,
zombieScreamerRadiated,,,New,受到辐射的尖叫丧尸,受到辐射的尖叫丧尸,
zombieSkateboarderRadiated,,,New,受到辐射的滑板混混僵尸,受到辐射的滑板混混僵尸,
zombieSoldierRadiated,,,New,受到辐射的阵亡士兵,受到辐射的阵亡士兵,
zombieSpiderRadiated,,,New,受到辐射的蜘蛛僵尸,受到辐射的蜘蛛僵尸,
zombieSteveRadiated,,,New,受到辐射的复活尸体,受到辐射的复活尸体,
zombieWightRadiated,,,New,受到辐射的丧尸怀特,受到辐射的丧尸怀特,
zombieYoRadiated,,,New,受到辐射的腐烂僵尸,受到辐射的腐烂僵尸,
hitmarkcleaner,,,New,完全命中,完全命中,
zombieJanitor,,,New,僵尸清洁工,僵尸清洁工,
zombieJanitorFeral,,,New,凶猛的僵尸清洁工,凶猛的僵尸清洁工,
zombieJanitorRadiated,,,New,受到辐射的僵尸清洁工,受到辐射的僵尸清洁工,
