Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkBerserkerDesc,progression,Perk,,,"You have mutated into a musclebound nightmare!  You destroy the world around you with ease, and fly into a blood rage when slaying your enemies at close range.",,,,,,,,,,,,你变成了丧尸的噩梦！ 你轻松摧毁你周围的世界，在近距离杀死你的敌人时，你会进入血怒状态。,,
perkBerserkerName,progression,Perk,,,Berskerer,,,,,,,,,,,,狂怒,,
perkBerserkerRank1Desc,progression,Perk,,,Berserk Rage,,,,,,,,,,,,狂怒,,
perkBerserkerRank1LongDesc,progression,Perk,,,"Block damage is increased by 100%.  Killing an enemy in melee or with a shotgun confers Berserker Rage for 10 seconds.  Berserker Rage increases shotgun and melee damage by 30%, and movement speed by 10%.  While in a rage, dismembering an enemy with melee or a shotgun heals you slightly.",,,,,,,,,,,,格挡伤害提升100%，用枪或者近战武器杀死一个敌人会使你狂怒10秒，狂怒增加霰弹枪和近战伤害30%，移动速度提高10%，用枪或者近战武器肢解敌人还会治愈你。,,
buffBerserkerName,buffs,Buff,,,"Berserker Rage",,,,,,,,,,,,狂怒,,
buffBerserkerDesc,buffs,Buff,,,"You are in a berserker rage!",,,,,,,,,,,,你愤怒得陷入了疯狂。,,
perkUnnaturalSpeedDesc,progression,Perk,,,"You have developed unnatural agility, greatly boosting your bow and pistol hipfire accuracy and reload speeds, as well as increasing your jump height and movement speed.",,,,,,,,,,,,你已经进化出了非自然的敏捷，大大提高了弓弩和手枪射击精度和装弹速度，同时也提高你的跳跃高度和移动速度。,,
perkUnnaturalSpeedName,progression,Perk,,,Unnatural Speed,,,,,,,,,,,,非自然敏捷,,
perkUnnaturalSpeedRank1Desc,progression,Perk,,,Unnatural Speed,,,,,,,,,,,,非自然敏捷,,
perkUnnaturalSpeedRank1LongDesc,progression,Perk,,,"Your jump is increased by 2 meters, and your movement speed by 10%.  Your hipfire with bows and pistols has increased accuracy.  Reload time is halved.",,,,,,,,,,,,你的跳跃高度提高了2米，移动速度提高了10%，你用弓弩和手枪射击可以提高命中率，重新装载时间减半。,,
perkPyrokinesisDesc,progression,Perk,,,"You have developed psychic powers that allow you to turn your enemies into external combustion engines.  Catch things on fire... with your mind!",,,,,,,,,,,,你已经进化出了非自然的精神力，可以让你的敌人变成内燃机，用你的精神力让他们着火！,,
perkPyrokinesisName,progression,Perk,,,Pyrokinesis,,,,,,,,,,,,精神火力,,
perkPyrokinesisRank1Desc,progression,Perk,,,Firepower,,,,,,,,,,,,精神火力,,
perkPyrokinesisRank1LongDesc,progression,Perk,,,"Channeling your thoughts through a pyrofocus allows you to create an explosion in your enemy's bodies, blasting them backward and causing spotaneous combustion. Works up to 10m away.",,,,,,,,,,,,通过精神力在敌人的身体里制造一个爆炸，并把他们击退，并造成燃烧效果，可以在10米开外发动。,,
perkZanshinDesc,progression,Perk,,,"You have become completely attuned to your environment.  Your sense are so heightened that you are able to shoot between the cracks in your enemies' armor, and put a bullet through locks on doors and safes.",,,,,,,,,,,,你已经完全适应了末日的环境，你的感觉是如此的强烈，以至于你能够穿透敌人的护甲，并能把子弹射穿门和保险箱。,,
perkZanshinName,progression,Perk,,,Zanshin,,,,,,,,,,,,天人合一,,
perkZanshinRank1Desc,progression,Perk,,,Oneness,,,,,,,,,,,,天人合一,,
perkZanshinRank1LongDesc,progression,Perk,,,"Rifle handling and reload speeds are greatly increase.  All bullets bypass an additional 45% of target's armor.  Door and Safe damage is increased with rifles.",,,,,,,,,,,,步枪操作和重新装弹速度大大提高，所有子弹穿透目标45%的护甲，门和保险箱受到的伤害增加。,,
perkNaturalArmorNameDesc,progression,Perk,,,"You have developed a thick, tough skin like a rhinocerous.  Incoming attacks are blunted by your hide.  The extra padding helps hold your auto rifles still.  But, you can no longer feel the wind against your skin.",,,,,,,,,,,,你已经长出了像犀牛一样又厚又硬的皮肤，受到的攻击会因你的皮肤而变得没那么有效，额外的填充物有助于固定你的自动步枪。但是，你再也感觉不到风吹着你的皮肤了。,,
perkNaturalArmorName,progression,Perk,,,Natural Armor,,,,,,,,,,,,变异护甲,,
perkNaturalArmorRank1Desc,progression,Perk,,,Thick Skin,,,,,,,,,,,,变异护甲,,
perkNaturalArmorRank1LongDesc,progression,Perk,,,"You take 10% less damage from attacks.  Bleed resistance is increased by 30%.  Autorifle handling and stability is increased significantly.",,,,,,,,,,,,你可以减少10%的攻击伤害，出血抗性提高30%，自动武器的稳定性显著提高。,,
attMutations,progression,Attribute,,,Mutations,,,,,,,,,,,,突变,,
attmutations,progression,Attribute,,,Mutations,,,,,,,,,,,,突变,,
attMutationsRank01Desc,progression,Skill,,,"Normal",,,,,,,,,,,,正常,,
attMutationsRank01LongDesc,progression,Skill,,,"You are a normal human.  Or, at least what passes for normal when everyone who's still alive is a survivor.",,,,,,,,,,,,你是一个正常的人类，或者，至少还活着。,,
attMutationsRank02Desc,progression,Skill,,,"Fugly",,,,,,,,,,,,丑毙,,
attMutationsRank02LongDesc,progression,Skill,,,"Your first mutation hasn't completely messed up your looks, but let's face it: you were never a beauty pageant winner in the first place.  Now?  You're kinda fugly.\n\nBartering prices increased by 5%",,,,,,,,,,,,你第一次突变还没有完全搞砸了你的外貌，但让我们面对现实吧，你现在丑毙了，交换价格增加了5%。,,
attMutationsRank03Desc,progression,Skill,,,"Grotesque",,,,,,,,,,,,怪诞,,
attMutationsRank03LongDesc,progression,Skill,,,"As you continue to mutate yourself, you're starting to look like a circus freak.  You'll still pass for human, just one that's had an accident with industrial solvents.\n\nOr maybe several accidents.\n\nBartering prices increased by 10%",,,,,,,,,,,,当你继续改变自己，你开始看起来像一个马戏团怪胎，或者经历了几起交通事故，交易价格增加了10%。,,
attMutationsRank04Desc,progression,Skill,,,"Inhuman",,,,,,,,,,,,非人类,,
attMutationsRank04LongDesc,progression,Skill,,,"There is no mistaking it now; you are no longer fully human.  While the benefits of your mutations are helping to keep you alive, you're less and less like your fellow survivors.  You are evolved.  The future of humankind.\n\nUnless you're sterile.  There's a good chance of that, actually.\n\nBartering prices increased by 20%",,,,,,,,,,,,你已不再是完整的人，虽然你的突变的好处是帮助让你更好的活着，你越来越不像人类，你是进化而来的，交易价格增加了20%。,,
attMutationsRank05Desc,progression,Skill,,,"Monstrous",,,,,,,,,,,,可怕,,
attMutationsRank05LongDesc,progression,Skill,,,"You have become monstrous in appearance.  Your fellow survivors sometimes mistake you for an undead amalgamation of abominations.  Like Frankenstein's monster, but uglier.  Good thing you can survive reflex potshots now.\n\nBartering prices increased by 35%",,,,,,,,,,,,你变得有点可怕，弗兰肯斯坦的怪物，丑陋，交换价格增加了35%。,,
attMutationsRank06Desc,progression,Skill,,,"Mutated Freak",,,,,,,,,,,,变异怪物,,
attMutationsRank06LongDesc,progression,Skill,,,"You are a fully mutated freak of nature.  Forget the zombies, parents scare their children with bedtime stories about you.  On the upside, you no longer run from anyone or anything.\n\nYou are as constant as Death in this torn wasteland, and the undead would flee from you if they had the intelligence to realize they should.\n\nBartering prices increased by 50%",,,,,,,,,,,,你是一个完全自然的变异怪物，忘记了僵尸，交换价格增加了50%。,,
attMutationsDesc,progression,Skill,,,"Mad science experiments designed by the military scientists who accidently created the zombies.  Using animal DNA, they may make you into a super soldier, or they may make you into one of the flesh-craving cannibals you are fighting so hard to escape.",,,,,,,,,,,,军事科学家设计的疯狂科学实验意外制造了僵尸，利用动物的DNA，他们可能会让你成为一名超级战士，或者他们可能会让你成为一个渴望肉食的食人族，而你正努力挣扎着要逃走。,,
skillFaunaMutationsDesc,progression,Skill,,,"Mad science experiments created by the military scientists who accidently created the zombies.  Using animal DNA, they may make you into a super soldier, or they may make you into one of the flesh-craving cannibals you are fighting so hard to escape.",,,,,,,,,,,,军事科学家设计的疯狂科学实验意外制造了僵尸，利用动物的DNA，他们可能会让你成为一名超级战士，或者他们可能会让你成为一个渴望肉食的食人族，而你正努力挣扎着要逃走。,,
skillFaunaMutationsName,progression,Skill,,,Fauna Mutations,,,,,,,,,,,,动物系突变,,
bookPyrokinesis,items,perk book,,,"Mysterious Brain Fluid",,,,,,,,,,,,神秘的蓝色脑浆,,
bookPyrokinesisDesc,items,perk book,,,"Mysterious, glowing cocktail of genetic material, partially developed from a coyote brain.\n\nRequires: 10 Intellect",,,,,,,,,,,,一种神秘的，发光的基因物质混合物，躯体的一部分由狼的大脑发育而成。需要智力10级,,
bookUnnaturalSpeed,items,perk book,,,"Inscrutable Green Fluid",,,,,,,,,,,,神秘的绿色液体,,
