Key,File,Type,UsedInMainMenu,NoTranslate,english
TheLastSamurai,items,Melee,,,最后的武士
TheLastSamuraiDesc,items,Melee,,,这把残破的武器似乎在诉说一段普通至极的历史.\n刀刃类武器.额外的重击伤害.
Darkrise,items,Melee,,,黑降
DarkriseDesc,items,Melee,,,随着科技大倒退而来的，是黑暗神秘学的崛起.\n刀刃类武器.极为影响潜行效果.更高的插槽加成.
BlackStoneSword,items,Melee,,,黑石短剑
BlackStoneSwordDesc,items,Melee,,,用核弹融化的合金打造，比较轻便趁手.\n刀刃类武器.
BleedingSword,items,Melee,,,柳叶刀
BleedingSwordDesc,items,Melee,,,这把武器曾经被很好的保存在某位收藏家的地下藏室中.\n刀刃类武器.更高的流血加成.
Shadow,items,Melee,,,影刃
ShadowDesc,items,Melee,,,不仅利于从暗处快速准确的消灭目标，还能更好的切割动物.\n刀刃类武器.额外的潜行强化.额外潜行伤害.25%破甲加成.
Funerals,items,Melee,,,送葬人
FuneralsDesc,items,Melee,,,这件来自古代图册的造型仿制品，已经变成废土的某种奇怪十字军风潮.\n大锤类武器.额外的截肢概率.额外的重击伤害.插槽更多.
Fruitchopper,items,Melee,,,绅士碎果器
FruitchopperDesc,items,Melee,,,相比较送葬人，这件武器更快、更准、更适合一般人使用.\n棍棒类武器.额外的随机属性上下限.
HolyStar,items,Melee,,,神圣之星
HolyStarDesc,items,Melee,,,依旧有闪光之人行走末世，他们热衷于搜集失落的科技和救助他人.\n矛类武器.超高的投掷伤害.额外保护的随机属性下限.插槽更多.
SENZAKI,items,Melee,,,长门
SENZAKIDesc,items,Melee,,,这把薙刀造型古朴，操作简便，非常适合不喜欢喧哗的隐士.\n矛类武器.长攻击距离.无法投掷.额外的潜行伤害.
Farseer,items,Melee,,,先知之眼
FarseerDesc,items,Melee,,,这根魔棒造型的奇特武器肯定不能落在傻子手里.\n电击棍类武器.额外的AOE伤害范围.
AncientDestroyer,items,Melee,,,古树毁灭者
AncientDestroyerDesc,items,Melee,,,完全无法理解这把武器为什么被保存的如此之好，也许它是某个德国工程师的随葬品.\n消防斧类武器.额外的重击伤害.额外的收获数量.
Bloodlust,items,Melee,,,血腥之爪
BloodlustDesc,items,Melee,,,尖锐的金属总是令人不安，幸运的是，这里有六根.\n拳套类武器.额外的随机数值上限.几率令目标流血和眩晕.
SolarStone,items,Melee,,,太阳舞者之石
SolarStoneDesc,items,Melee,,,欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉！！\n拳套类武器.额外的重击伤害.寒冷抗性.小几率令群体目标着火.几乎无法潜行.
Elegy,items,Melee,,,挽歌
ElegyDesc,items,Melee,,,那些令人怀念的好日子不会再来.\n防御武器.高护甲值和抗性.几率令目标眩晕.
Longinus,items,Melee,,,朗基奴斯之枪
LonginusDesc,items,Melee,,,以朗基努斯之名，列阵！迎敌！\n矛类武器.最长攻击距离.量产型.
BigIronSword,items,Melee,,,大刀片
BigIronSwordDesc,items,Melee,,,制作简单，物资贫乏时期的坚实依靠.\n刀刃类武器.影响潜行.
Ironfox,items,Melee,,,铁狐迅捷剑
IronfoxDesc,items,Melee,,,重装甲好可怕……骗你的~\n这把铝热剑来自黑钢国际，高热特性导致其造成流血几率很低，同时有几率造成长时间的点燃伤害和忽视40%护甲值.\n刀刃类武器.使用修理包修理.40%破甲加成.
GoldenDarkness,items,Melee,,,金色暗影
GoldenDarknessDesc,items,Melee,,,H什么的最讨厌啦！\n\n刀刃类武器.使用修理包修理.25%破甲加成.
Magikarp,items,Melee,,,鲤鱼王
MagikarpDesc,items,Melee,,,虽然只会一直地跳，无法尽力战斗的它被认为很弱，但它却是能在任何污水里生活的顽强宝可梦.\n\n重锤武器，使用修理包修理.
BrokenBottle,items,Melee,,,酒吧凶器
BrokenBottleDesc,items,Melee,,,当世界崩塌，没有人能全身而退.\n刀刃类武器.额外潜行伤害.
Crowbar,items,Melee,,,物理学圣剑
CrowbarDesc,items,Melee,,,通过统计超铀元素晶体中来自锁模源阵列的极长波来观测超量子结构中的爱因斯坦·波多尔斯基·罗森缠结\n棍棒类武器.额外的随机属性上下限.
WoodSpear,items,Melee,,,投矛
WoodSpearDesc,items,Melee,,,易损易耗，大规模应用请有足够的备货.\n矛类武器.消耗品.
Naglfar,items,Melee,,,纳迦法
NaglfarDesc,items,Melee,,,总要有谁来......让那些无法入眠者永享真死.\n矛类武器.高破甲.无法投掷.
Crucible,items,Melee,,,永恒魔埚
CrucibleDesc,items,Melee,,,这把地狱裁决之剑，一直在耐心的等待其真正的主人.\n刀刃类武器.炼狱之火.
Tower,items,Melee,,,塔
TowerDesc,items,Melee,,,向死而生.\n大锤类武器.额外的截肢概率.增强抗性.
17Bat,items,Melee,,,肉斩骨断
17BatDesc,items,Melee,,,完全依靠蛮力和锯刃来撕裂血肉.\n大锤类武器.力量补正2.较高肢解率.
17GreenM,items,Melee,,,绿色奇迹
17GreenMDesc,items,Melee,,,人们伤害他们爱的人.全世界都是这样.\n电击棍类武器.对不死生物造成大幅额外伤害.
17MB,items,Melee,,,青龙偃月
17MBDesc,items,Melee,,,酒且斟下，某去便来.\n矛类武器.无法投掷.高肢解率.
17Rebirth,items,Melee,,,重生之刃
17RebirthDesc,items,Melee,,,记住，它们只是昨日的幻影.\n刀刃类武器.额外的潜行强化.额外潜行伤害.35%破甲加成.
